"country","ccode","year","torture"
"Honduras",91,1986,2
"Hungary",310,1986,2
"iceland",395,1986,1
"india",750,1986,4
"indonesia",850,1986,3
"iran",630,1986,5
"iraq",645,1986,5
"ireland",205,1986,2
"israel",666,1986,1
"italy",325,1986,2
"Jamaica",51,1986,3
"Japan",740,1986,1
"Jordan",663,1986,2
"Kazakhstan",705,1986,NA
"Kenya",501,1986,3
"South Korea",732,1986,3
"North Korea",731,1986,4
"Kuwait",690,1986,3
"Kyrgyzstan",703,1986,NA
"Laos",812,1986,2
"Latvia",367,1986,4
"Lebanon",660,1986,2
"Lesotho",570,1986,2
"Liberia",450,1986,3
"Libya",620,1986,3
"Lithuania",368,1986,4
"Luxembourg",212,1986,1
"Macedonia",343,1986,NA
"Madagascar",580,1986,3
"Malawi",553,1986,2
"Malaysia",820,1986,1
"Mali",432,1986,3
"Mauritania",435,1986,1
"Mauritius",590,1986,1
"Mexico",70,1986,3
"Moldova",359,1986,NA
"Mongolia",712,1986,NA
"Morocco",600,1986,4
"Mozambique",541,1986,3
"Myanmar",775,1986,3
"Namibia",565,1986,3
"Nepal",790,1986,4
"Netherlands",210,1986,1
"New Zealand",920,1986,1
"Nicaragua",93,1986,3
"Niger",436,1986,2
"Nigeria",475,1986,1
"Norway",385,1986,1
"Oman",698,1986,1
"Pakistan",770,1986,3
"Panama",95,1986,2
"Papua New Guinea",910,1986,1
"Paraguay",150,1986,4
"Peru",135,1986,4
"Philippines",840,1986,4
"Poland",290,1986,3
"Portugal",235,1986,2
"Qatar",694,1986,2
"Romania",360,1986,3
"Russia",365,1986,4
"Rwanda",517,1986,1
"Saudi Arabia",670,1986,2
"Senegal",433,1986,2
"Sierra Leone",451,1986,3
"Singapore",830,1986,1
"Slovak Republic",317,1986,NA
"Slovenia",349,1986,NA
"Somalia",520,1986,3
"South Africa",560,1986,4
"Spain",230,1986,3
"Sri Lanka",780,1986,3
"Sudan",625,1986,3
"Swaziland",572,1986,2
"Sweden",380,1986,1
"Switzerland",225,1986,1
"Syria",652,1986,5
"Tajikistan",702,1986,NA
"Tanzania",510,1986,4
"Thailand",800,1986,3
"Togo",461,1986,5
"Tonga",955,1986,1
"Tunisia",616,1986,2
"Turkey",640,1986,5
"Turkmenistan",701,1986,NA
"Uganda",500,1986,3
"Ukraine",369,1986,NA
"United Arab Emirates",696,1986,1
"United Kingdom",200,1986,2
"Uruguay",165,1986,2
"Uzbekistan",704,1986,NA
"Venezuela",101,1986,2
"Vietnam",816,1986,4
"Yemen, North",678,1986,3
"Yemen",679,1986,NA
"Yemen, South",680,1986,3
"Yugoslavia",345,1986,2
"Zambia",551,1986,3
"Zimbabwe",552,1986,4
"Afghanistan",700,1987,5
"Albania",339,1987,3
"Algeria",615,1987,3
"Angola",540,1987,3
"Argentina",160,1987,2
"Armenia",371,1987,1
"Australia",900,1987,1
"Austria",305,1987,2
"Azerbaijan",373,1987,2
"Bahrain",692,1987,3
"Bangladesh",771,1987,3
"Belarus",370,1987,3
"Belgium",211,1987,1
"Benin",434,1987,3
"Bhutan",760,1987,1
"Bolivia",145,1987,3
"Bosnia and Herzegovina",346,1987,NA
"Botswana",571,1987,2
"Brazil",140,1987,5
"Bulgaria",355,1987,3
"Burkina Faso",439,1987,3
"Burundi",516,1987,2
"Cambodia",811,1987,4
"Cameroon",471,1987,1
"Canada",20,1987,1
"Central African Repbulic",482,1987,2
"Chad",483,1987,2
"Chile",155,1987,3
"China",710,1987,3
"Colombia",100,1987,3
"Comoros",581,1987,3
"Congo, Republic of",484,1987,3
"Congo, Democratic Republic of",490,1987,4
"Costa Rica",94,1987,1
"ivory Coast",437,1987,2
"Croatia",344,1987,NA
"Cuba",40,1987,4
"Cyprus",352,1987,1
"Czechoslovakia",315,1987,2
"Czech Republic",316,1987,NA
"Denmark",390,1987,1
"Djibouti",522,1987,1
"Dominican Republic",42,1987,2
"Ecuador",130,1987,3
"Egypt",651,1987,3
"El Salvador",92,1987,3
"Equatorial Guinea",411,1987,4
"Eritrea",531,1987,NA
"Estonia",366,1987,4
"Ethiopia",530,1987,4
"Fiji",950,1987,3
"Finland",375,1987,1
"France",220,1987,1
"Gabon",481,1987,1
"Gambia",420,1987,2
"Georgia",372,1987,NA
"Germany",255,1987,NA
"Germany, East",265,1987,NA
"Germany, West",260,1987,2
"Ghana",452,1987,3
"Greece",350,1987,3
"Guatemala",90,1987,3
"Guinea",438,1987,2
"Guinea-Bissau",404,1987,2
"Guyana",110,1987,2
"Haiti",41,1987,3
"Honduras",91,1987,3
"Hungary",310,1987,1
"iceland",395,1987,1
"india",750,1987,4
"indonesia",850,1987,4
"iran",630,1987,5
"iraq",645,1987,5
"ireland",205,1987,2
"israel",666,1987,4
"italy",325,1987,3
"Jamaica",51,1987,3
"Japan",740,1987,1
"Jordan",663,1987,3
"Kazakhstan",705,1987,NA
"Kenya",501,1987,3
"South Korea",732,1987,3
"North Korea",731,1987,4
"Kuwait",690,1987,3
"Kyrgyzstan",703,1987,NA
"Laos",812,1987,3
"Latvia",367,1987,4
"Lebanon",660,1987,3
"Lesotho",570,1987,2
"Liberia",450,1987,3
"Libya",620,1987,4
"Lithuania",368,1987,4
"Luxembourg",212,1987,1
"Macedonia",343,1987,NA
"Madagascar",580,1987,3
"Malawi",553,1987,3
"Malaysia",820,1987,2
"Mali",432,1987,3
"Mauritania",435,1987,3
"Mauritius",590,1987,1
"Mexico",70,1987,3
"Moldova",359,1987,NA
"Mongolia",712,1987,NA
"Morocco",600,1987,3
"Mozambique",541,1987,3
"Myanmar",775,1987,3
"Namibia",565,1987,2
"Nepal",790,1987,5
"Netherlands",210,1987,1
"New Zealand",920,1987,1
"Nicaragua",93,1987,4
"Niger",436,1987,2
"Nigeria",475,1987,2
"Norway",385,1987,1
"Oman",698,1987,1
"Pakistan",770,1987,3
"Panama",95,1987,4
"Papua New Guinea",910,1987,1
"Paraguay",150,1987,3
"Peru",135,1987,5
"Philippines",840,1987,4
"Poland",290,1987,4
"Portugal",235,1987,2
"Qatar",694,1987,1
"Romania",360,1987,3
"Russia",365,1987,4
"Rwanda",517,1987,1
"Saudi Arabia",670,1987,4
"Senegal",433,1987,2
"Sierra Leone",451,1987,3
"Singapore",830,1987,3
"Slovak Republic",317,1987,NA
"Slovenia",349,1987,NA
"Somalia",520,1987,4
"South Africa",560,1987,4
"Spain",230,1987,3
"Sri Lanka",780,1987,3
"Sudan",625,1987,3
"Swaziland",572,1987,2
"Sweden",380,1987,1
"Switzerland",225,1987,1
"Syria",652,1987,4
"Tajikistan",702,1987,NA
"Tanzania",510,1987,3
"Thailand",800,1987,3
"Togo",461,1987,4
"Tonga",955,1987,1
"Tunisia",616,1987,3
"Turkey",640,1987,5
"Turkmenistan",701,1987,NA
"Uganda",500,1987,3
"Ukraine",369,1987,NA
"United Arab Emirates",696,1987,1
"United Kingdom",200,1987,1
"Uruguay",165,1987,1
"Uzbekistan",704,1987,NA
"Venezuela",101,1987,3
"Vietnam",816,1987,3
"Yemen, North",678,1987,3
"Yemen",679,1987,NA
"Yemen, South",680,1987,3
"Yugoslavia",345,1987,2
"Zambia",551,1987,3
"Zimbabwe",552,1987,3
"Afghanistan",700,1988,5
"Albania",339,1988,2
"Algeria",615,1988,4
"Angola",540,1988,3
"Argentina",160,1988,3
"Armenia",371,1988,2
"Australia",900,1988,1
"Austria",305,1988,1
"Azerbaijan",373,1988,4
"Bahrain",692,1988,3
"Bangladesh",771,1988,3
"Belarus",370,1988,4
"Belgium",211,1988,1
"Benin",434,1988,3
"Bhutan",760,1988,1
"Bolivia",145,1988,2
"Bosnia and Herzegovina",346,1988,NA
"Botswana",571,1988,3
"Brazil",140,1988,5
"Bulgaria",355,1988,4
"Burkina Faso",439,1988,3
"Burundi",516,1988,3
"Cambodia",811,1988,4
"Cameroon",471,1988,2
"Canada",20,1988,1
"Central African Repbulic",482,1988,1
"Chad",483,1988,3
"Chile",155,1988,3
"China",710,1988,3
"Colombia",100,1988,2
"Comoros",581,1988,3
"Congo, Republic of",484,1988,4
"Congo, Democratic Republic of",490,1988,4
"Costa Rica",94,1988,1
"ivory Coast",437,1988,2
"Croatia",344,1988,NA
"Cuba",40,1988,4
"Cyprus",352,1988,1
"Czechoslovakia",315,1988,2
"Czech Republic",316,1988,NA
"Denmark",390,1988,1
"Djibouti",522,1988,2
"Dominican Republic",42,1988,2
"Ecuador",130,1988,4
"Egypt",651,1988,4
"El Salvador",92,1988,3
"Equatorial Guinea",411,1988,3
"Eritrea",531,1988,NA
"Estonia",366,1988,4
"Ethiopia",530,1988,3
"Fiji",950,1988,2
"Finland",375,1988,1
"France",220,1988,2
"Gabon",481,1988,3
"Gambia",420,1988,2
"Georgia",372,1988,NA
"Germany",255,1988,NA
"Germany, East",265,1988,NA
"Germany, West",260,1988,1
"Ghana",452,1988,3
"Greece",350,1988,2
"Guatemala",90,1988,3
"Guinea",438,1988,3
"Guinea-Bissau",404,1988,3
"Guyana",110,1988,2
"Haiti",41,1988,3
"Honduras",91,1988,3
"Hungary",310,1988,1
"iceland",395,1988,1
"india",750,1988,4
"indonesia",850,1988,4
"iran",630,1988,5
"iraq",645,1988,5
"ireland",205,1988,2
"israel",666,1988,4
"italy",325,1988,1
"Jamaica",51,1988,3
"Japan",740,1988,1
"Jordan",663,1988,3
"Kazakhstan",705,1988,NA
"Kenya",501,1988,3
"South Korea",732,1988,2
"North Korea",731,1988,4
"Kuwait",690,1988,3
"Kyrgyzstan",703,1988,NA
"Laos",812,1988,2
"Latvia",367,1988,4
"Lebanon",660,1988,4
"Lesotho",570,1988,3
"Liberia",450,1988,3
"Libya",620,1988,4
"Lithuania",368,1988,4
"Luxembourg",212,1988,1
"Macedonia",343,1988,NA
"Madagascar",580,1988,3
"Malawi",553,1988,2
"Malaysia",820,1988,2
"Mali",432,1988,2
"Mauritania",435,1988,3
"Mauritius",590,1988,1
"Mexico",70,1988,3
"Moldova",359,1988,NA
"Mongolia",712,1988,NA
"Morocco",600,1988,3
"Mozambique",541,1988,4
"Myanmar",775,1988,3
"Namibia",565,1988,3
"Nepal",790,1988,4
"Netherlands",210,1988,1
"New Zealand",920,1988,1
"Nicaragua",93,1988,4
"Niger",436,1988,3
"Nigeria",475,1988,3
"Norway",385,1988,1
"Oman",698,1988,2
"Pakistan",770,1988,4
"Panama",95,1988,3
"Papua New Guinea",910,1988,1
"Paraguay",150,1988,3
"Peru",135,1988,4
"Philippines",840,1988,4
"Poland",290,1988,3
"Portugal",235,1988,1
"Qatar",694,1988,3
"Romania",360,1988,3
"Russia",365,1988,4
"Rwanda",517,1988,1
"Saudi Arabia",670,1988,3
"Senegal",433,1988,2
"Sierra Leone",451,1988,3
"Singapore",830,1988,2
"Slovak Republic",317,1988,NA
"Slovenia",349,1988,NA
"Somalia",520,1988,4
"South Africa",560,1988,4
"Spain",230,1988,2
"Sri Lanka",780,1988,4
"Sudan",625,1988,3
"Swaziland",572,1988,2
"Sweden",380,1988,1
"Switzerland",225,1988,1
"Syria",652,1988,5
"Tajikistan",702,1988,NA
"Tanzania",510,1988,3
"Thailand",800,1988,3
"Togo",461,1988,3
"Tonga",955,1988,1
"Tunisia",616,1988,3
"Turkey",640,1988,3
"Turkmenistan",701,1988,NA
"Uganda",500,1988,3
"Ukraine",369,1988,NA
"United Arab Emirates",696,1988,3
"United Kingdom",200,1988,2
"Uruguay",165,1988,1
"Uzbekistan",704,1988,NA
"Venezuela",101,1988,3
"Vietnam",816,1988,3
"Yemen, North",678,1988,3
"Yemen",679,1988,NA
"Yemen, South",680,1988,3
"Yugoslavia",345,1988,4
"Zambia",551,1988,3
"Zimbabwe",552,1988,3
"Afghanistan",700,1989,5
"Albania",339,1989,2
"Algeria",615,1989,2
"Angola",540,1989,3
"Argentina",160,1989,3
"Armenia",371,1989,2
"Australia",900,1989,1
"Austria",305,1989,1
"Azerbaijan",373,1989,4
"Bahrain",692,1989,3
"Bangladesh",771,1989,3
"Belarus",370,1989,3
"Belgium",211,1989,1
"Benin",434,1989,3
"Bhutan",760,1989,1
"Bolivia",145,1989,3
"Bosnia and Herzegovina",346,1989,NA
"Botswana",571,1989,3
"Brazil",140,1989,5
"Bulgaria",355,1989,4
"Burkina Faso",439,1989,3
"Burundi",516,1989,3
"Cambodia",811,1989,3
"Cameroon",471,1989,3
"Canada",20,1989,1
"Central African Repbulic",482,1989,2
"Chad",483,1989,3
"Chile",155,1989,3
"China",710,1989,3
"Colombia",100,1989,5
"Comoros",581,1989,3
"Congo, Republic of",484,1989,3
"Congo, Democratic Republic of",490,1989,3
"Costa Rica",94,1989,2
"ivory Coast",437,1989,2
"Croatia",344,1989,NA
"Cuba",40,1989,3
"Cyprus",352,1989,1
"Czechoslovakia",315,1989,2
"Czech Republic",316,1989,NA
"Denmark",390,1989,1
"Djibouti",522,1989,3
"Dominican Republic",42,1989,2
"Ecuador",130,1989,3
"Egypt",651,1989,4
"El Salvador",92,1989,4
"Equatorial Guinea",411,1989,3
"Eritrea",531,1989,NA
"Estonia",366,1989,4
"Ethiopia",530,1989,4
"Fiji",950,1989,2
"Finland",375,1989,1
"France",220,1989,2
"Gabon",481,1989,3
"Gambia",420,1989,2
"Georgia",372,1989,NA
"Germany",255,1989,NA
"Germany, East",265,1989,NA
"Germany, West",260,1989,1
"Ghana",452,1989,2
"Greece",350,1989,3
"Guatemala",90,1989,2
"Guinea",438,1989,2
"Guinea-Bissau",404,1989,3
"Guyana",110,1989,2
"Haiti",41,1989,3
"Honduras",91,1989,3
"Hungary",310,1989,1
"iceland",395,1989,1
"india",750,1989,4
"indonesia",850,1989,4
"iran",630,1989,4
"iraq",645,1989,5
"ireland",205,1989,1
"israel",666,1989,4
"italy",325,1989,1
"Jamaica",51,1989,3
"Japan",740,1989,1
"Jordan",663,1989,3
"Kazakhstan",705,1989,NA
"Kenya",501,1989,3
"South Korea",732,1989,3
"North Korea",731,1989,NA
"Kuwait",690,1989,3
"Kyrgyzstan",703,1989,NA
"Laos",812,1989,2
"Latvia",367,1989,3
"Lebanon",660,1989,3
"Lesotho",570,1989,2
"Liberia",450,1989,3
"Libya",620,1989,NA
"Lithuania",368,1989,4
"Luxembourg",212,1989,1
"Macedonia",343,1989,NA
"Madagascar",580,1989,3
"Malawi",553,1989,2
"Malaysia",820,1989,1
"Mali",432,1989,3
"Mauritania",435,1989,4
"Mauritius",590,1989,1
"Mexico",70,1989,3
"Moldova",359,1989,NA
"Mongolia",712,1989,NA
"Morocco",600,1989,4
"Mozambique",541,1989,4
"Myanmar",775,1989,4
"Namibia",565,1989,3
"Nepal",790,1989,4
"Netherlands",210,1989,1
"New Zealand",920,1989,1
"Nicaragua",93,1989,4
"Niger",436,1989,2
"Nigeria",475,1989,3
"Norway",385,1989,1
"Oman",698,1989,2
"Pakistan",770,1989,4
"Panama",95,1989,4
"Papua New Guinea",910,1989,3
"Paraguay",150,1989,3
"Peru",135,1989,5
"Philippines",840,1989,4
"Poland",290,1989,2
"Portugal",235,1989,1
"Qatar",694,1989,2
"Romania",360,1989,3
"Russia",365,1989,4
"Rwanda",517,1989,1
"Saudi Arabia",670,1989,4
"Senegal",433,1989,3
"Sierra Leone",451,1989,3
"Singapore",830,1989,3
"Slovak Republic",317,1989,NA
"Slovenia",349,1989,NA
"Somalia",520,1989,3
"South Africa",560,1989,4
"Spain",230,1989,1
"Sri Lanka",780,1989,4
"Sudan",625,1989,3
"Swaziland",572,1989,2
"Sweden",380,1989,2
"Switzerland",225,1989,1
"Syria",652,1989,5
"Tajikistan",702,1989,NA
"Tanzania",510,1989,4
"Thailand",800,1989,3
"Togo",461,1989,4
"Tonga",955,1989,1
"Tunisia",616,1989,3
"Turkey",640,1989,5
"Turkmenistan",701,1989,NA
"Uganda",500,1989,4
"Ukraine",369,1989,NA
"United Arab Emirates",696,1989,3
"United Kingdom",200,1989,1
"Uruguay",165,1989,1
"Uzbekistan",704,1989,NA
"Venezuela",101,1989,3
"Vietnam",816,1989,2
"Yemen, North",678,1989,3
"Yemen",679,1989,NA
"Yemen, South",680,1989,3
"Yugoslavia",345,1989,3
"Zambia",551,1989,3
"Zimbabwe",552,1989,4
"Afghanistan",700,1990,5
"Albania",339,1990,3
"Algeria",615,1990,3
"Angola",540,1990,3
"Argentina",160,1990,3
"Armenia",371,1990,4
"Australia",900,1990,3
"Austria",305,1990,2
"Azerbaijan",373,1990,4
"Bahrain",692,1990,3
"Bangladesh",771,1990,3
"Belarus",370,1990,3
"Belgium",211,1990,1
"Benin",434,1990,1
"Bhutan",760,1990,1
"Bolivia",145,1990,3
"Bosnia and Herzegovina",346,1990,NA
"Botswana",571,1990,2
"Brazil",140,1990,5
"Bulgaria",355,1990,1
"Burkina Faso",439,1990,3
"Burundi",516,1990,2
"Cambodia",811,1990,3
"Cameroon",471,1990,2
"Canada",20,1990,1
"Central African Repbulic",482,1990,3
"Chad",483,1990,4
"Chile",155,1990,3
"China",710,1990,4
"Colombia",100,1990,5
"Comoros",581,1990,2
"Congo, Republic of",484,1990,4
"Congo, Democratic Republic of",490,1990,2
"Costa Rica",94,1990,2
"ivory Coast",437,1990,3
"Croatia",344,1990,NA
"Cuba",40,1990,3
"Cyprus",352,1990,1
"Czechoslovakia",315,1990,1
"Czech Republic",316,1990,NA
"Denmark",390,1990,1
"Djibouti",522,1990,3
"Dominican Republic",42,1990,2
"Ecuador",130,1990,5
"Egypt",651,1990,4
"El Salvador",92,1990,4
"Equatorial Guinea",411,1990,5
"Eritrea",531,1990,NA
"Estonia",366,1990,3
"Ethiopia",530,1990,4
"Fiji",950,1990,2
"Finland",375,1990,1
"France",220,1990,2
"Gabon",481,1990,2
"Gambia",420,1990,2
"Georgia",372,1990,NA
"Germany",255,1990,1
"Germany, East",265,1990,NA
"Germany, West",260,1990,NA
"Ghana",452,1990,1
"Greece",350,1990,2
"Guatemala",90,1990,4
"Guinea",438,1990,3
"Guinea-Bissau",404,1990,2
"Guyana",110,1990,2
"Haiti",41,1990,4
"Honduras",91,1990,4
"Hungary",310,1990,1
"iceland",395,1990,1
"india",750,1990,4
"indonesia",850,1990,4
"iran",630,1990,3
"iraq",645,1990,5
"ireland",205,1990,1
"israel",666,1990,1
"italy",325,1990,1
"Jamaica",51,1990,4
"Japan",740,1990,3
"Jordan",663,1990,1
"Kazakhstan",705,1990,NA
"Kenya",501,1990,3
"South Korea",732,1990,4
"North Korea",731,1990,NA
"Kuwait",690,1990,4
"Kyrgyzstan",703,1990,NA
"Laos",812,1990,3
"Latvia",367,1990,3
"Lebanon",660,1990,3
"Lesotho",570,1990,2
"Liberia",450,1990,5
"Libya",620,1990,3
"Lithuania",368,1990,3
"Luxembourg",212,1990,1
"Macedonia",343,1990,NA
"Madagascar",580,1990,2
"Malawi",553,1990,3
"Malaysia",820,1990,2
"Mali",432,1990,3
"Mauritania",435,1990,3
"Mauritius",590,1990,2
"Mexico",70,1990,3
"Moldova",359,1990,NA
"Mongolia",712,1990,1
"Morocco",600,1990,3
"Mozambique",541,1990,3
"Myanmar",775,1990,5
"Namibia",565,1990,3
"Nepal",790,1990,4
"Netherlands",210,1990,1
"New Zealand",920,1990,1
"Nicaragua",93,1990,3
"Niger",436,1990,3
"Nigeria",475,1990,4
"Norway",385,1990,1
"Oman",698,1990,1
"Pakistan",770,1990,4
"Panama",95,1990,2
"Papua New Guinea",910,1990,3
"Paraguay",150,1990,4
"Peru",135,1990,5
"Philippines",840,1990,4
"Poland",290,1990,2
"Portugal",235,1990,3
"Qatar",694,1990,1
"Romania",360,1990,3
"Russia",365,1990,4
"Rwanda",517,1990,2
"Saudi Arabia",670,1990,4
"Senegal",433,1990,4
"Sierra Leone",451,1990,2
"Singapore",830,1990,2
"Slovak Republic",317,1990,NA
"Slovenia",349,1990,NA
"Somalia",520,1990,3
"South Africa",560,1990,3
"Spain",230,1990,1
"Sri Lanka",780,1990,3
"Sudan",625,1990,5
"Swaziland",572,1990,2
"Sweden",380,1990,1
"Switzerland",225,1990,1
"Syria",652,1990,5
"Tajikistan",702,1990,NA
"Tanzania",510,1990,4
"Thailand",800,1990,3
"Togo",461,1990,3
"Tonga",955,1990,1
"Tunisia",616,1990,3
"Turkey",640,1990,4
"Turkmenistan",701,1990,NA
"Uganda",500,1990,4
"Ukraine",369,1990,NA
"United Arab Emirates",696,1990,3
"United Kingdom",200,1990,1
"Uruguay",165,1990,2
"Uzbekistan",704,1990,NA
"Venezuela",101,1990,4
"Vietnam",816,1990,4
"Yemen, North",678,1990,NA
"Yemen",679,1990,3
"Yemen, South",680,1990,NA
"Yugoslavia",345,1990,4
"Zambia",551,1990,3
"Zimbabwe",552,1990,4
"Afghanistan",700,1991,4
"Albania",339,1991,2
"Algeria",615,1991,3
"Angola",540,1991,3
"Argentina",160,1991,3
"Armenia",371,1991,4
"Australia",900,1991,3
"Austria",305,1991,2
"Azerbaijan",373,1991,4
"Bahrain",692,1991,3
"Bangladesh",771,1991,4
"Belarus",370,1991,2
"Belgium",211,1991,1
"Benin",434,1991,1
"Bhutan",760,1991,3
"Bolivia",145,1991,3
"Bosnia and Herzegovina",346,1991,NA
"Botswana",571,1991,1
"Brazil",140,1991,5
"Bulgaria",355,1991,1
"Burkina Faso",439,1991,3
"Burundi",516,1991,2
"Cambodia",811,1991,2
"Cameroon",471,1991,4
"Canada",20,1991,1
"Central African Repbulic",482,1991,2
"Chad",483,1991,4
"Chile",155,1991,3
"China",710,1991,4
